04/05/2020_21:57:48: NewYork: Total cases: 123018, Total deaths: 4159, Death rate: 3.38%
04/05/2020_22:01:37: NewYork: Total cases: 123018, Total deaths: 4159, Death rate: 3.38%
04/05/2020_22:15:11: NewYork: Total cases: 123018, Total deaths: 4159, Death rate: 3.38%
04/05/2020_22:17:49: NewYork: Total cases: 123018, Total deaths: 4159, Death rate: 3.38%
04/05/2020_22:21:37: NewYork: Total cases: 123018, Total deaths: 4159, Death rate: 3.38%
04/05/2020_22:29:45: NewYork: Total cases: 123018, Total deaths: 4159, Death rate: 3.38%
04/05/2020_22:30:55: NewYork: Total cases: 123018, Total deaths: 4159, Death rate: 3.38%
04/06/2020_11:06:01: NewYork: Total cases: 123018, Total deaths: 4159, Death rate: 3.38%
04/06/2020_13:24:21: NewYork: Total cases: 130689, Total deaths: 4758, Death rate: 3.64%
04/06/2020_18:49:55: NewYork: Total cases: 130689, Total deaths: 4758, Death rate: 3.64%
04/06/2020_19:16:10: NewYork: Total cases: 131916, Total deaths: 4758, Death rate: 3.61%
04/06/2020_19:17:15: NewYork: Total cases: 131916, Total deaths: 4758, Death rate: 3.61%
04/06/2020_22:54:47: NewYork: Total cases: 131916, Total deaths: 4758, Death rate: 3.61%
04/07/2020_01:11:55: NewYork: Total cases: 131916, Total deaths: 4758, Death rate: 3.61%
04/07/2020_01:13:13: NewYork: Total cases: 131916, Total deaths: 4758, Death rate: 3.61%
04/07/2020_10:00:32: NewYork: Total cases: 131916, Total deaths: 4758, Death rate: 3.61%
04/07/2020_15:39:54: NewYork: Total cases: 138863, Total deaths: 5489, Death rate: 3.95%
04/08/2020_00:54:38: NewYork: Total cases: 142384, Total deaths: 5489, Death rate: 3.86%
04/08/2020_12:33:16: NewYork: Total cases: 142384, Total deaths: 6268, Death rate: 4.40%
04/08/2020_18:45:59: NewYork: Total cases: 149316, Total deaths: 6268, Death rate: 4.20%
